Class,Text
1, "восток  000 восток инн 2466169937 касса 996 на садовой кассовая смена 40 квитанция об оплате заказа дата 96122018 1353 кассир петров кс заказ  159 официант петров кс зал зал1 стол 25 гостей 1 наименование кво сумма тирамису 15000 капучино 18000 итого к оплате 33000 наличные 33000 все суммы в рублях спасибо ждем вас снова подпись счёт будет пополнен на 3300 бон 190 баланс вашего счёта бонусная программа 48492 бон гость пирогов иван номер карты 5588 ваша категория platinum"
2, "негосударственное образовательное частное учреждение высшего образования московский экономический институт сертификат подтверждает ковалёва полина сергеевна являлась участником международной научно практической интернетконференции вузовское образование новая реальность 12 марта 2020 г город москва s mommy en председатель организационного комитета кий проректор научной работе по информационным технологиям"
1, "кассовый чек пользователь 00 альфа инн пользователя 770123456 приход 100 x 24 00000 мебельный гарнитур вектор 2400000 ндс 20 признак способа расчета полный расчет признак предмета расчета товар итог 2400000 сумма ндс ставке 20 400000 наличными 24 00000 кассир иванова анна ивановка cho осн 030323 1530 121000 г москва адрес ул лесная д 8 место расчетов деловой центр авс офис 500 рн ккт 0000000012345678 фн 9897078944322222 фд 181 ong 1438138231 сайт фнс wwwnaloggovru bs"
1, "образец чека ооо лабиринтру г москва 2й рощинский прд 82 инн 7728644571 кассовый чек 1611 врлллллмаб иги приход 06072018 1229 73 номер смены адрес покупателя mmmemailru адрес отправителя noreplyplatformaofdru применяемая система налогообложения ocho новые правила наличных расчетов перейти онлайнкассу 1х 49000 общая стоимость позиции учетом скидок наценок 49000 hac 10 4455 бухгалтерский учет картинках 1х 39500 общая стоимость позиции учетом скидок наценок 39500 ндс 10 3591 ручка шариковая многофункциональная зв1 футляре 1х 16900 общая стоимость позиции учетом скидок наценок 16900 ндс 10 1536 итог 105400 наличными 000 электронными 105400 ндс 10 9582 8710000101055709 заводской номер фискального накопителя регистрационный номер ккт 00924284018326 105682 порядковый номер фискального документа фискальный признак документа 3728225237 адрес сайта просмотра чека platformaofdru адрес сайта проверки чека nalogru спасибо покупку"
1, "тестовый образец инн 5544332219 cho осн httpsv5onlineatolru данный текстовый документ является кассовым чеком подтверждает факт расчёта приход кассовый чек 11 20072022 0931 121 миксер solac мод545 шт 100 x 855000 55000 cymma hac 20 171000 итого 55000 предоплатой зачетом аванса 55000 ен фн 9999078902010456 фд 44872 oma 1639565239 eng ea ch ph kkt 0000000007003934 ween een e een n een n nnn enn nnn телефон электронный адрес покупателя atolzetasoftru ween een e een n een n nnn enn nnn автомата ккт051705 сайт фнс wwwnalogru tdmailru эл aap отправителя ween een e een n een n nnn enn nnn"
1, "кассовый чек 1111 ооо ромашка инн 123456789100 адрес 770000 город ул воронцовская 35 б дата время кассир иванов иван иванович feces sissies csi oses жж жж жж жж жена приход продажа жж жж жж жж жж жж жж кж жж oi ii iii товар цена колво стоимость молоко 5000 1 5000 ндс 10 чай липтон 150002 30000 ндс 18 итого 35000 500 ндс 10 ндс 18 5400 жж жж жж жен жж жж жж жж кж жж oi ii iii наличными 50000 15000 pr hctema налогообложения фискчек 123445 код ккт 479949 фн 88890 офд первый офд проверка чека сайте www1ofdru"
1, "кассовый чек приход 000 петерсервис спеитехнологии инн 7841465198 115280 г носква ул ленинская слобода 19 8 800 5509941 010119 1746 чек 00144 кассир иванова снена ё 00123 ш 8712000100052999 ph ккт 0001615844055214 3h кт 0495002881 0000017058 ona 2074315309 ооо oo een брендирование smektpohhwx чеков отправки покупателям ешат 500 300 150000 hac 20 25000 нягкая игрушка фискальный накопитель 2x 50000 100000 hac 10 90 оо пон ene ee seats eee caoay итог 250000 наличными 000 безналичныни 25000 обнен 000 предоплата аванс 000 постоплати кредит 000 налогообложение och сунна hac 20 25000 сунна hac 10 9091 8 be сайт фнс nalogru ooa 000 пс ct ofdru"
1, "кассовый чек ооо pat 117519 г москва ш варшавское д 133 приход 210120 1311 инн 7811232037 рн ккт 0002598718020089 фн пм ии смена 150 чек 65 место расчетов httpsdvizhcomru автомат 000902 сайт фнс wwwnalogru эл адр покупателя ao 01 оплата 35670 заказа 323225 1000 24600 24600 ндс предоплата 100 итог 24600 безналичными 24600 cho усн доходрасход фд 12295 фп 0986972649"
1, "000 лукойлцентрнефтепродукт москва 28 кн мкад чек зн kkt 0854560002009668 0402 инн 7701285928 230418 1119 кассир оператор a3c цыганова 0 b кассовый yeknphxoa ph kkt 00000597 14065042 oh 8712000101116080 000 apyc 0019 сайт oo wwwofdyaru сайт нс wwwnalogru сненд 150 чек 30 трк 3 топливо дизельное экто diesel атлк 40 х 4202 168080_a 25639 hac 18 tid r mid 100764348000077 1 68080 оплатаруб loyal ty ererrereereseeeeid7 начислено баллов zh потрачено баллов баллов 23042018 111330 rrn 811308873115 т1 с00 stan 00442 ав 691065 бр tid mid 100764346000077 1 68080 mastercard onnatapy6 app mastercard aid 40000000041010 aip 3900 ts 4806 cvmr 420300 tc 94d178637d987616 tvr 0000048000 vad ih жака qt 7 23042018 111939 кем 811305413832 air 156378 т1_ _кс00 stan 00443 операция a aaa bboaoh 168080 электронными 2168080 anat картои 2168080 acymma hac 18 25639 oa 56488 on 1873922613 ts rk re гл i 88001000911 www lukoilru hot inelukoilcom"
1, "система управления торговлей екам магазин 10 00000 руб оплачено наименование сумма смартфон 10 x 10 00000 руб 10 00000 py6 10 00000 руб наличными 1000000 руб фискальные данные чек 290617 1727 итог 10 00000 руб рег ккт 0000000001046855 зав oh 9999078900006731 од 13 ona 3062626597"
1, "000 кроникс плюс 119180 г москва переулок xboctob 1й дом 11а инн 7729342140 место расчётов httprinetru кассовый чек 460 приход 26022019 1152 смена 507 кассир старший кассир головкина татьяна ивановна och применяемая система налогообложения телефон электронный адрес покупателя признак расчетов сети интернет адрес отправителя noreplyplatformaofdru"
1, "000 торговый дом комплексный тула инн 7103501210 место расчётов офис кассовый чек 4 10042019 1603 приход смена 26 кассир федоров борис михайлович осн применяемая система налогообложения адрес отправителя noreplyplatformaofdru конфеты ассорти 100 x 8200 820000 общая стоимость позиции учетом скидок наценок ставка ндс 20 136667 сумма ндс платеж предмет расчета способ расчета оплата кредита итог 820000 наличными 205000 аванс 410000 сумма чеку bco 205000 кредит сумма чеку 5co 000 встречным представлением ндс 20 136667"
1, "кассовый чек ооо ромашка инн пользователя 7736101512 возврат прихода бумага принтера снегурочка 1х 115000 11500000 11500000 сумма итог 11500000 встречное представление 11500000 11500000 сумма ндс cho усн доход кассир гаврилова елена сергеевна 310720 1155 адрес г москва ленинский пркт д 83 кори 3 место расчетов магазин канцтовары рнккт 122546532115464 фн 65541354231321 11215 фд фп 1705465649 дополнительный реквизит 31165 сайт фнс wwwnalogru"
1, "кассовый чек ооо цветок инн 5032150814 143000 московская обл г одинцово ул маршала неделина д 28 корп 3 10102018 1218 смена 3 кассир кольцова екатерина степановна приход чек 034 букет азалия 1х3 000 300000 итог 300000 наличными 300000 ндс 000 cho усн доход место расчетов 3 этаж помещение 5 признак предмета расчетов товар единица измерения предмета расчета штуки ккт 0001350001116545 рн ккт 0001354650065454 фн 8700000100325465 сайт фнс wwwnalogru 11234561234 фд 0000012345"
1, "жкх свет москва ул большая новодмитровская 14 инн 7731369928 место расчётов офис bco 1 приход 09042019 1027 смена 7 кассир петрова ва применяемая система осн налогообложения адрес отправителя noreplyplatformaofdru коммунальные услуги 1х200000 общая стоимость позиции 200000 учетом скидок наценок ставка hoc 20 сумма ндс 30508 предмет расчета услуга способ расчета полный расчет итог 200000 наличными 200000 аванс 000 сумма чеку bco кредит 000 сумма чеку bco встречным 000 представлением hac 20 30508 мон 9999078900011780 регистрационный номер ккт 0000000001008054 nog 75 on 2007560828 версия ффд 105"
1, "кассовый чек приход 000 альфа 24032022 0801 кокакола напиток жб 033 л 33 00 ндс 20 55 итог 330 55 сумма ндс ставке 20 наличными 330 кассир петрова ирина сергеевна cho och инн пользователя 7701165783 131221 1530 адрес 109281 г москва ул изумрудная д 5 место расчетов магазин спар рн ккт 0000000001063544 фн 9999078902007370 on 42 on 3838210438 сайт фнс naloggovru"
1, "000 ваш магазин 109316 регион 77 москва полный юридический адрес инн соответствии документом место расчётов ваш электронный адрес кассовый чек системе учета 31072021 1434 приход смена 194 применяемая система ochych налогообложения телефон электронный адрес данные клиента покупателя адрес электронной почты ваши данные отправителя чека kkt000 номер автомата признак расчетов сети интернет 2х9100 общая стоимость позиции 18200 учетом скидок наценок 20 ставка ндс 3033 сумма ндс платеж предмет расчета способ расчета полный расчет итог наличными 000 безналичными 000 зачет предоплаты аванса сумма чеку бс0 кредит 000 сумма чеку бс0 встречным 600 представлением ндс 20 технические данные noh предоставляемые вашей ккт регистрационный номер ккт nog on 105 версия ффд apec ira ana просмотра чека plat maofi че адрес та провер спасибо покупку"
1, "кассовый чек пользователь 00 альфа инн пользователя 770123456 приход 100 x 24 00000 мебельный гарнитур вектор 2400000 ндс 20 признак способа расчета полный расчет признак предмета расчета товар итог 2400000 сумма ндс ставке 20 400000 наличными 24 00000 кассир иванова анна ивановка cho осн 030323 1530 121000 г москва адрес ул лесная д 8 место расчетов деловой центр авс офис 500 рн ккт 0000000012345678 фн 9897078944322222 фд 181 ong 1438138231 сайт фнс wwwnaloggovru"
1, "pro100masha приход название цена кол сумма смф huawei nova 5т midsummer 2299000 10 2299000 ригрешт акб внешний adata p10050c 139900 10 139900 10000mah белшт kaspersky is android 1r1yctp 99900 10 99900 cnwr итого 2538800 наличные 000 электронные 2538600 ндс итога чека ставкой 20 406484 ндс облагается 99900 вид налогообложения осн рег номер ккт 0000307771036358 фн 9289000100368475 фд 10514 фпд2416504733 сайт фнс httpswwwnalogru пользователь адрес расчета инн 7825695758 дата 020720 1831 чек 14 смена 377 кассир олейникова aa специалист офиса продаж обслуживания"
1, "ооо альфа инн 5834041042 место расчетов магазин 1000 сумок кассовый чек 15 возврат прихода 23102023 1815 смена 1 применяемая сно усн доход сумка ремнем guess 6 7300 ндс 20 1 3460 итог 6 7300 ндс 20 1 3460 наличными 6 7300 предмет расчета товар способ расчета полный расчет рн ккт 0000000001063544 фн 9999078902007370 фд 42 фп 3838210438 сайт фнс naloggovru"
1, "приход чек продажи 5 новая касса shkkt ooni735 стрижка 155006 50100 12500 5000 укладка маникюр 411 20000 1 20000 итог 00000 оплата hanmi 500000 получено 500000 сдача 300000 сно усн силла ндс 200000 петрова анна сменам 0031 hhh пользователя 248796754607 пользователь vin bb иванова адрес pacvera 620035 exarepin6ypr yn спроителей 1 адрес покупателя kott976msilre адрес отправителя вакотькги сайт проверки on rnalogra 01052019 1150 phkkt 220004524867 нм 995998874254 oaw 0000000008 on 0001516508"
2, "май shy at рекомендовано одним психологи ческий центр si основателей бодинамики елены арлановой партнеров eric jarnaes сертификат успешно завершил долговременную обучающую программу телесное развитие количестве 112 часов программа длилась 15122014 06122015 г ведущая психолог телеснофокусированный дата терапевт альхимович татьяна х директор ев арланова"
